kingdom,phylum,class,order,family,genus,species,scientificName,locality,stateProvince,decimalLatitude,decimalLongitude,eventDate,day,month,year,collectionCode,identifiedBy,recordedBy
Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Canthon,Canthon imitator,"Canthon imitator Brown, 1946",Chaparral Wildlife Managament Area - 10.1 mi NW Artesia Wells,Texas,28.314,-99.447,6/26/2002 0:00,26,6,2002,Entomology Collection,"Brady, P.C.",J.C. Abbott|Field Ent Class
Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Canthon,Canthon imitator,"Canthon imitator Brown, 1946",Chaparral Wildlife Managament Area - 10.1 mi NW Artesia Wells,Texas,28.314,-99.447,6/26/2002 0:00,26,6,2002,Entomology Collection,"Brady, P.C.",J.C. Abbott|Field Ent Class
Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Canthon,Canthon imitator,"Canthon imitator Brown, 1946",Chaparral Wildlife Managament Area - 10.1 mi NW Artesia Wells,Texas,28.314,-99.447,6/26/2002 0:00,26,6,2002,Entomology Collection,"Brady, P.C.",J.C. Abbott|Field Ent Class
Animalia,Arthropoda,Insecta,Hymenoptera,Mutillidae,Pseudomethoca,,"Pseudomethoca Ashmead, 1896",Chaparral Wildlife Management Area,Texas,28.31,-99.43,4/16/1993 0:00,16,4,1993,Entomology Collection,"Manley, D.G.",A.W. Hook
Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Digitonthophagus,Digitonthophagus gazella,"Digitonthophagus gazella (Fabricius, 1787)",Chaparral Wildlife Management Area,Texas,28.31,-99.43,6/7/1992 0:00,7,6,1992,Entomology Collection,"Riley, E.G.",A.W. Hook
Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Canthon,Canthon imitator,"Canthon imitator Brown, 1946",Chaparral Wildlife Managament Area - 10.1 mi NW Artesia Wells,Texas,28.314,-99.447,6/26/2002 0:00,26,6,2002,Entomology Collection,"Brady, P.C.",J.C. Abbott|Field Ent Class
Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onthophagus,Onthophagus medorensis,"Onthophagus medorensis Brown, 1929",Chaparral Wildlife Management Area,Texas,28.31,-99.43,4/12/2001 0:00,12,4,2001,Entomology Collection,"Brady, P.C.",A.W. Hook|J.L. Neff
Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Copris,Copris remotus,"Copris remotus LeConte, 1866",Chaparral Wildlife Management Area,Texas,28.31,-99.43,4/12/2001 0:00,12,4,2001,Entomology Collection,"Abbott, J.C.",A.W. Hook|J.L. Neff
Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Canthon,Canthon imitator,"Canthon imitator Brown, 1946",Chaparral Wildlife Management Area,Texas,28.31,-99.43,3/14/1990 0:00,14,3,1990,Entomology Collection,"Riley, E.G.",A.W. Hook
Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Canthon,Canthon imitator,"Canthon imitator Brown, 1946",12 mi E Catarina,Texas,28.34,-99.42,6/22/1976 0:00,22,6,1976,Entomology Collection,"Riley, E.G.",
Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Canthon,Canthon imitator,"Canthon imitator Brown, 1946",Chaparral Wildlife Managament Area - 10.1 mi NW Artesia Wells,Texas,28.314,-99.447,6/26/2002 0:00,26,6,2002,Entomology Collection,"Brady, P.C.",J.C. Abbott|Field Ent Class
Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Canthon,Canthon imitator,"Canthon imitator Brown, 1946",Chaparral Wildlife Managament Area - 10.1 mi NW Artesia Wells,Texas,28.314,-99.447,6/26/2002 0:00,26,6,2002,Entomology Collection,"Brady, P.C.",J.C. Abbott|Field Ent Class
Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Canthon,Canthon imitator,"Canthon imitator Brown, 1946",Chaparral Wildlife Managament Area - 10.1 mi NW Artesia Wells,Texas,28.314,-99.447,6/26/2002 0:00,26,6,2002,Entomology Collection,"Brady, P.C.",J.C. Abbott|Field Ent Class
Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Canthon,Canthon imitator,"Canthon imitator Brown, 1946",Chaparral Wildlife Managament Area - 10.1 mi NW Artesia Wells,Texas,28.314,-99.447,6/26/2002 0:00,26,6,2002,Entomology Collection,"Brady, P.C.",J.C. Abbott|Field Ent Class
Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Canthon,Canthon probus,"Canthon probus (Germar, 1824)",Chaparral Wildlife Management Area,Texas,28.31,-99.43,3/14/1990 0:00,14,3,1990,Entomology Collection,,A.W. Hook
Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Copris,Copris remotus,"Copris remotus LeConte, 1866",Chaparral Wildlife Management Area,Texas,28.31,-99.43,3/16/2000 0:00,16,3,2000,Entomology Collection,"Abbott, J.C.",A.W. Hook|J.L. Neff
Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Canthon,Canthon imitator,"Canthon imitator Brown, 1946",Chaparral Wildlife Managament Area - 10.1 mi NW Artesia Wells,Texas,28.314,-99.447,6/26/2002 0:00,26,6,2002,Entomology Collection,"Brady, P.C.",J.C. Abbott|Field Ent Class
Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Copris,Copris remotus,"Copris remotus LeConte, 1866",Chaparral Wildlife Management Area,Texas,28.31,-99.43,3/16/2000 0:00,16,3,2000,Entomology Collection,"Abbott, J.C.",A.W. Hook|J.L. Neff
Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Copris,Copris remotus,"Copris remotus LeConte, 1866",Chaparral Wildlife Management Area,Texas,28.31,-99.43,3/16/2000 0:00,16,3,2000,Entomology Collection,"Abbott, J.C.",A.W. Hook|J.L. Neff
Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Canthon,Canthon imitator,"Canthon imitator Brown, 1946",Chaparral Wildlife Managament Area - 10.1 mi NW Artesia Wells,Texas,28.314,-99.447,6/11/2001 0:00,11,6,2001,Entomology Collection,"Brady, P.C.",J.C. Abbott|Field Ent Class
Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Canthon,Canthon imitator,"Canthon imitator Brown, 1946",Chaparral Wildlife Management Area,Texas,28.31,-99.43,3/14/1990 0:00,14,3,1990,Entomology Collection,"Riley, E.G.",A.W. Hook
Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Canthon,Canthon imitator,"Canthon imitator Brown, 1946",Chaparral Wildlife Managament Area - 10.1 mi NW Artesia Wells,Texas,28.314,-99.447,6/26/2002 0:00,26,6,2002,Entomology Collection,"Brady, P.C.",J.C. Abbott|Field Ent Class
Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Canthon,Canthon imitator,"Canthon imitator Brown, 1946",Chaparral Wildlife Managament Area - 10.1 mi NW Artesia Wells,Texas,28.314,-99.447,6/11/2001 0:00,11,6,2001,Entomology Collection,"Brady, P.C.",J.C. Abbott|Field Ent Class
Animalia,Arthropoda,Insecta,Hymenoptera,Mutillidae,Pseudomethoca,,"Pseudomethoca Ashmead, 1896",Chaparral Wildlife Management Area,Texas,28.31,-99.43,5/20/1991 0:00,20,5,1991,Entomology Collection,"Manley, D.G.",A.W. Hook
Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Canthon,Canthon vigilans,"Canthon vigilans LeConte, 1858",Chaparral Wildlife Management Area,Texas,28.31,-99.43,4/12/2001 0:00,12,4,2001,Entomology Collection,"Brady, P.C.",A.W. Hook|J.L. Neff
Animalia,Arthropoda,Insecta,Hymenoptera,Mutillidae,Pseudomethoca,,"Pseudomethoca Ashmead, 1896",Chaparral Wildlife Management Area,Texas,28.31,-99.43,3/14/1990 0:00,14,3,1990,Entomology Collection,"Manley, D.G.",A.W. Hook
